docbook-style-xsl: fail
docbook-dtd-xml: 1.0.12
dnf: 4.20.0
ding-libs: 0.6.2
dovecot: 2.3.21
docbook-dtds: fail
docbook-simple: fail
docbook5-style-xsl: fail
dotconf: fail
docbook-style-dsssl: fail
docbook-utils: fail
driverctl: fail
doxygen: 1.11.0
dos2unix: 1.1.2
dpkg: fail
dogtail: 0.9.11
drpm: 0.5.2
dropwatch: 1.5.4
dosfstools: 4.2
dialog: 3.3.0
docker-compose: 2.27.1
dnf5: 5.2.3.0
docker-buildx: 0.15.0
dracut: 59
dvd+rw-tools: fail
efi-rpm-macros: fail
dumpet: fail
e2fsprogs: 1.47.1
dump: 6.110.0
dwarves: 1.27
dtc: 1.6.27
dwz: 1.5.2
ebtables: fail
elinks: 0.17.0
duktape: 2.7.0
emacs: fail
elfutils: fail
dstat: 0.7.4
egl-wayland: 1.1.13
edk2: 202405
dyninst: 13.0.0
environment-modules: fail
ethtool: fail
efivar: 39
edac-utils: 0.18
expat: 2.4.1
efax: 1.5.0
eglexternalplatform: 1.1
enchant: 1.7.0
enscript: fail
exempi: 2.6.5
evemu: fail
efibootmgr: 18
extra-cmake-modules: 6.3.0
enca: 1.19
fdk-aac-free: 2.0.0
enchant2: 1.0.0
exiv2: 0.28.2
erlang: 27.0
espeakup: 0.90
execstack: 22.3
facter: 4.7.1
fakeroot: fail
eppic: 2.9.2
fcgi: 1.1.0
elixir: 1.16.3
expect: 0.18.15
ed: 2.2.8
fapolicyd: 1.3.3
ecj: 1.38.1
fabtests: 1.6.2
etcd: 3.5.14
espeak-ng: 1.51.1
fakechroot: 2.20.1
fftw: fail
fontawesome4-fonts: fail
fdupes: 2.3.0
file: 5.45
fillup: fail
fstrm: fail
fence-virt: fail
fio: fail
filebench: 1.4.9.1
firewalld: 2.1.2
fltk: 1.3.9
flac: fail
foomatic-db: 20240504
findutils: 0.5.0
flite: 2.2
foomatic: 20240504
fonttosfnt: 1.2.3
freeipmi: 1.6.14
freefont: fail
font-util: fail
fetchmail: 2.3.1
freeglut: 3.6.0
freetype: 2.13.2
fontpackages: fail
fontawesome-fonts: 3.2.1.0
fipscheck: 11.201.0.11
fsverity-utils: 1.6
flux: 4.0.3
fribidi: 1.0.15
freexl: fail
fontsproto: 2.1.3
fonts-rpm-macros: fail
fluent-bit: 3.0.7
fping: 5.2
fuse-sshfs: 1.0.2
fuse: 7.0.0
fxload: fail
flex: 3.0.0
fuse3: 0.7.2
freeradius: 3.2.4
flannel: 0.25.4
freetds: 1.4.17
flatbuffers: 24.3.25
fros: 5.1.2
fuse-overlayfs: 1.13
fuse-zip: 1.2.1
frr: 10.1
fontconfig: 2016.4.23
future: 0.25.4
